ACCNR,YEAR,SPECIES,LOC,LAT,LONG,NHOM,ALDR,TOTL,TOTV,FPRC,PB,CD,CU,ZN,NI,CR,AG,AS,AL,SE,SN,HG
C07/04480,2007,Herring,Väderöarna,58.54930391858806,10.964417653575358,NA,2,20.5,66.8,4.36,0.043,0.43,13,83,-0.08,-0.01,0.03,7.81,NA,NA,NA,21
C07/04481,2007,Herring,Väderöarna,58.54930391858806,10.964417653575358,NA,2,22.1,84.1,4.36,0.049,0.56,14,87,-0.08,-0.02,0.01,10.9,NA,NA,NA,22
C07/06455,2007,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,18.2,36,1.17,0.05,1.48,13,98,-0.11,-0.02,0.02,1.82,NA,NA,NA,23
C07/06456,2007,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,17.8,36.3,1.74,0.086,1.36,16,91,0.13,-0.02,0.03,2.33,NA,NA,NA,125
C07/06457,2007,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,5,17.7,33,1.37,0.095,3.17,16,83,0.23,-0.03,0.02,2.77,NA,NA,NA,18
C07/06458,2007,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,17.7,30.1,0.6,0.081,1.38,15,98,-0.24,-0.05,0.02,2.07,NA,NA,NA,37
C07/03573,2007,Perch,Holmöarna,63.68082842166445,20.87675805501533,NA,4,18.2,69.4,0.83,-0.008,1.28,12,94,-0.08,-0.02,0.03,2.9,NA,NA,NA,37
C07/03574,2007,Perch,Holmöarna,63.68082842166445,20.87675805501533,NA,3,17.8,68.4,0.76,-0.008,0.46,14,114,-0.08,-0.02,0.01,3.6,NA,NA,NA,75
C07/03575,2007,Perch,Holmöarna,63.68082842166445,20.87675805501533,NA,4,18.4,71.1,0.73,0.014,0.42,10,106,-0.07,-0.01,0.01,3.09,NA,NA,NA,43
C07/03576,2007,Perch,Holmöarna,63.68082842166445,20.87675805501533,NA,4,19.3,72.7,0.76,0.008,1.3,13,115,0.11,-0.01,0.01,5.33,NA,NA,NA,39
C07/03577,2007,Perch,Holmöarna,63.68082842166445,20.87675805501533,NA,4,18.7,69.9,0.71,0.008,0.62,13,107,0.09,-0.01,0.01,3.08,NA,NA,NA,50
C07/03578,2007,Perch,Holmöarna,63.68082842166445,20.87675805501533,NA,4,19.3,90,0.63,0.009,0.53,13,97,-0.08,-0.01,0.01,3.25,NA,NA,NA,59
C07/03579,2007,Perch,Holmöarna,63.68082842166445,20.87675805501533,NA,4,19.5,84.8,0.77,-0.007,0.32,8,92,-0.07,-0.01,0.01,3.68,NA,NA,NA,62
C07/03580,2007,Perch,Holmöarna,63.68082842166445,20.87675805501533,NA,4,19,87.4,0.8,0.01,0.47,7,92,-0.08,-0.02,0,1.4,NA,NA,NA,42
C07/03581,2007,Perch,Holmöarna,63.68082842166445,20.87675805501533,NA,4,19.8,89.8,0.74,-0.008,0.65,10,99,-0.08,-0.01,0.01,3.96,NA,NA,NA,67
C07/03582,2007,Perch,Holmöarna,63.68082842166445,20.87675805501533,NA,4,18,82.3,0.84,0.009,0.58,10,76,-0.08,-0.02,0.01,1.92,NA,NA,NA,42
