ACCNR,YEAR,SPECIES,LOC,LAT,LONG,NHOM,ALDR,TOTL,TOTV,FPRC,CB28,CB52,CB101,CB118,CB153,CB138,CB180
P84/03612,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,3,16.6,52.8,0.8,0.007,NA,0.027,NA,0.179,0.127,0.061
P84/03613,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,16,50.8,0.69,0.007,NA,0.084,NA,0.223,0.16,0.054
P84/03614,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,6,17.6,71.3,0.78,0.005,NA,0.022,NA,0.098,0.065,0.023
P84/03615,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,15.8,45.2,0.78,0.007,NA,0.037,NA,0.148,0.094,0.021
P84/03616,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,15.7,51.9,0.63,0.007,NA,0.024,NA,0.132,0.085,0.036
P84/03617,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,3,16.5,53.4,0.75,0.008,NA,0.049,NA,0.152,0.109,0.022
P84/03618,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,18.6,86.1,0.66,0.004,NA,0.013,NA,0.068,0.046,0.014
P84/03619,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,18.3,79.5,0.66,0.007,NA,0.038,NA,0.194,0.129,0.046
P84/03620,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,16.4,49.4,0.71,0.006,NA,0.046,NA,0.226,0.163,0.053
P84/03621,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,16.2,49.1,0.72,0.005,NA,0.031,NA,0.122,0.085,0.018
P87/03857,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,18.1,36.7,4.34,0.0039,0.012,0.0417,0.0475,0.0751,0.0772,0.0311
P87/03858,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,4,17.8,42.4,7.2,0.004,0.0124,0.0435,0.0546,0.0742,0.0764,0.0292
P87/03860,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,18.5,39.2,4.18,0.0124,0.0433,0.15310000000000001,0.1971,0.2632,0.2624,0.1017
P87/03861,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,18.7,36.9,2.35,0.0119,0.0426,0.1651,0.1821,0.3187,0.314,0.1106
P87/03862,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,3,16.9,29,3.66,0.0077,0.0213,0.0675,0.0809,0.1418,0.1393,0.0484
P87/03843,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,18.4,41.6,5.34,0.0101,0.0348,0.1395,0.1569,0.1983,0.2097,0.0717
P87/03846,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,18.9,43.8,3.76,0.0122,0.0391,0.1383,0.1644,0.2186,0.2316,0.0875
P87/04238,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19.5,53,1.96,0.0036,0.0158,0.0837,0.1031,0.2587,0.227,0.0791
P87/04239,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,18.6,42,4.9,0.0169,0.0429,0.1045,0.1145,0.1598,0.1614,0.0437
P87/04240,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,18.9,43.7,4.27,0.022,0.0745,0.1995,0.248,0.3623,0.3834,0.1244
P87/03101,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,19.7,51,3.4,0.0209,0.06,0.1194,0.1697,0.2182,0.1903,0.0529
P87/03102,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,19.6,46,1.41,0.0312,0.105,0.2298,0.2787,0.4241,0.3787,0.1156
P87/03104,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,19.3,47,2.88,0.0285,0.0882,0.1865,0.2542,0.3427,0.3017,0.0868
P87/03106,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,19.2,48,5.82,0.0277,0.078,0.2223,0.2966,0.4153,0.4851,0.1182
P87/03109,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.7,68,1.98,0.0268,0.0707,0.2091,0.2288,0.4374,0.3778,0.101
P87/03110,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.3,61,4.73,0.0268,0.0776,0.1634,0.2423,0.3027,0.2636,0.0734
P87/03116,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21.1,65,4.04,0.028,0.0782,0.1879,0.2601,0.3663,0.3196,0.0896
